performance_indicator,unit,LNG — FGSS 1 (PBU),LNG — FGSS 2 (Pump),LNG — FGSS 3 (Compressor),dual-fuel — FGSS 1 (PBU),dual-fuel — FGSS 2 (Pump),dual-fuel — FGSS 3 (Compressor)
Planned voyage duration,d,6.0,6.0,6.0,10.0,10.0,10.0
Analysed voyage duration,d,6.0,6.0,6.0,9.499189814814814,10.0,10.0
Elapsed simulation duration,d,6.056481481481481,6.0,6.0,9.555671296296296,10.0,10.0
Voyage time to minimum heel,d,,,,9.499189814814814,,
Final tank filling,%,6.8161776493943895,7.255386512079015,7.428391042189,4.999886097392359,5.4157043301378,7.19536991102854
Maximum tank pressure,bar,7.509156661679864,4.328250611629865,2.0000345478289736,7.6001354733574695,7.367806391309327,5.004170700427187
Final tank pressure,bar,6.890399819123109,4.328250611629865,1.2237171029803584,7.034807792221582,7.367710648267399,5.003456942398874
Pressure margin to MAWP,bar,0.5908433383201359,3.771749388370135,6.099965452171026,0.4998645266425301,0.7321936086906726,3.095829299572813
Total BOG removed,kg,0.0,0.0,9804.931200000003,4994.8897619881545,3673.550719748329,16431.536400000005
BOG used as fuel,kg,0.0,0.0,9804.931200000003,0.0,0.3114604990499058,16431.536400000005
Excess BOG requiring management,kg,0.0,0.0,0.0,4994.8897619881545,3673.2392592492793,0.0
BOG removed during conventional-fuel operation,kg,0.0,0.0,0.0,4994.8897619881545,3673.2392592492793,0.0
PBU thermal energy,kWh,711.500278418122,0.0,0.0,690.6485683411007,0.0,0.0
Startup PBU thermal energy,kWh,155.66125045504802,0.0,0.0,155.66125045504802,0.0,0.0
Pump mechanical energy,kWh,0.0,90.53032526250324,96.86317829653557,0.0,77.27350065823211,93.39670140826735
Compressor mechanical energy,kWh,0.0,0.0,458.39929259887253,0.0,0.0,719.3147502290996
Total mechanical energy,kWh,0.0,90.53032526250324,555.2624708954081,0.0,77.27350065823211,812.711451637367
Specific mechanical energy,kWh t-1,,0.3749238185231494,2.299573377948881,,0.3200217811371905,3.365776936312182
Requested LNG fuel,kg,241463.2541061499,241463.2541061499,241463.2541061499,241459.99192373562,241463.25410614986,241463.25410614986
Supplied LNG fuel,kg,241463.2541061499,241463.2541061499,241463.2541061499,241459.99192373562,241463.25410614986,241463.25410614986
LNG-supply shortfall,kg,0.0,0.0,0.0,0.0,0.0,0.0
