parameter,level,value,termination_reason,heel_reached,mawp_exceeded,results_truncated_at_mawp,simulation_duration_days,voyage_simulation_duration_days,time_to_min_heel_days,elapsed_time_to_min_heel_days,voyage_time_to_min_heel_days,time_to_mawp_days,final_fill_pct,max_pressure_bar,pressure_at_termination_bar,pressure_margin_to_mawp_bar,total_bog_removed_kg,bog_used_as_fuel_kg,bog_excess_kg,bog_removed_lng_kg,bog_removed_conventional_kg,conventional_operation_days,requested_fuel_kg,fuel_supplied_kg,lng_supply_shortfall_kg,unserved_fuel_kg,pump_energy_kWh,compressor_energy_kWh,mechanical_energy_kWh,specific_mechanical_energy_kWh_per_t,pbu_thermal_energy_kWh,startup_pbu_thermal_energy_kWh,operational_pbu_thermal_energy_kWh,evaporator_evaporation_energy_kWh,evaporator_internal_superheat_energy_kWh,evaporator_thermal_energy_kWh,superheater_thermal_energy_kWh,total_process_thermal_energy_kWh,startup_time_days,pressure_recovery_time_days,pbu_pressurization_time_days,bog_balance_error_kg
baseline,base,,minimum_heel,True,False,False,10.224421296296295,10.224421296296295,10.224421296296295,10.224421296296295,10.224421296296295,,4.999321381190518,5.004170700427187,4.535184800289114,3.095829299572813,17364.5832,17364.5832,0.0,17364.5832,0.0,4.0,247788.6258073612,247788.6258073612,0.0,0.0,94.20134427822464,726.9512349634134,821.152579241638,3.3139236176241127,0.0,0.0,0.0,33670.52803234503,18190.5414605187,51861.069492863724,6006.0122247836025,57867.08171764733,0.0,0.0,0.0,0.0
tank_ins_scale,low,0.5,minimum_heel,True,False,False,10.242592592592592,10.242592592592592,10.242592592592592,10.242592592592592,10.242592592592592,,4.999595765078841,3.4038879427589017,2.8181097884189126,4.696112057241098,6549.613200000002,6549.613200000002,0.0,6549.613200000002,0.0,4.0,248300.7884463969,248300.7884463969,0.0,0.0,101.65973907109094,258.0553672814903,359.71510635258124,1.4487070645377205,0.0,0.0,0.0,35620.775159136545,18686.705143764804,54307.48030290136,6366.93243664876,60674.41273955011,0.0,0.0,0.0,0.0
tank_ins_scale,base,1.0,minimum_heel,True,False,False,10.224421296296295,10.224421296296295,10.224421296296295,10.224421296296295,10.224421296296295,,4.999321381190518,5.004170700427187,4.535184800289114,3.095829299572813,17364.5832,17364.5832,0.0,17364.5832,0.0,4.0,247788.6258073612,247788.6258073612,0.0,0.0,94.20134427822464,726.9512349634134,821.152579241638,3.3139236176241127,0.0,0.0,0.0,33670.52803234503,18190.5414605187,51861.069492863724,6006.0122247836025,57867.08171764733,0.0,0.0,0.0,0.0
tank_ins_scale,high,1.5,MAWP,False,True,True,9.597222222222221,9.597222222222221,,,,9.597222222222221,6.837760933195224,8.100351601325949,8.100351601325949,-0.00035160132594924676,16630.272,16630.272,0.0,16630.272,0.0,3.597337962962963,241459.99192373562,241459.99192373562,0.0,0.0,79.26204565340109,427.38235730477635,506.64440295817747,2.0982540375392684,0.0,0.0,0.0,31732.26192709603,17749.654259871157,49481.916186967195,6002.721971253777,55484.63815822097,0.0,0.0,0.0,0.0
initial_fill,low,0.75,minimum_heel,True,False,False,7.657060185185185,7.657060185185185,7.657060185185185,7.657060185185185,7.657060185185185,,4.999662749561657,2.2740992235529243,1.326519068478024,5.825900776447075,14951.365200000004,14951.365200000004,0.0,14951.365200000004,0.0,2.0,223671.91143465517,223671.91143465517,0.0,0.0,85.67168608730005,626.2441220456448,711.9158081329448,3.1828574431480554,0.0,0.0,0.0,30494.36570205222,16510.686618447704,47005.052320499926,5372.509937804146,52377.562258304075,0.0,0.0,0.0,0.0
initial_fill,base,0.83,minimum_heel,True,False,False,10.224421296296295,10.224421296296295,10.224421296296295,10.224421296296295,10.224421296296295,,4.999321381190518,5.004170700427187,4.535184800289114,3.095829299572813,17364.5832,17364.5832,0.0,17364.5832,0.0,4.0,247788.6258073612,247788.6258073612,0.0,0.0,94.20134427822464,726.9512349634134,821.152579241638,3.3139236176241127,0.0,0.0,0.0,33670.52803234503,18190.5414605187,51861.069492863724,6006.0122247836025,57867.08171764733,0.0,0.0,0.0,0.0
initial_fill,high,0.9,minimum_heel,True,False,False,10.995949074074074,10.995949074074074,10.995949074074074,10.995949074074074,10.995949074074074,,4.998194377651774,3.852887836159303,2.8413603252389716,4.247112163840697,20475.541200000003,20475.541200000003,0.0,20475.541200000003,0.0,4.0,270866.775709944,270866.775709944,0.0,0.0,100.48703664241955,795.0028197913896,895.4898564338091,3.3060158599618683,0.0,0.0,0.0,36404.26877247365,20063.85368667949,56468.122459153135,6355.436876068541,62823.559335221675,0.0,0.0,0.0,0.0
T_amb,low,278.15,minimum_heel,True,False,False,10.220601851851852,10.220601851851852,10.220601851851852,10.220601851851852,10.220601851851852,,4.999577129248264,5.059242607090772,4.555234096779436,3.040757392909228,15436.4148,15436.4148,0.0,15436.4148,0.0,4.0,247680.9737876913,247680.9737876913,0.0,0.0,96.27607968455341,657.8005545154871,754.0766342000405,3.044548084046313,0.0,0.0,0.0,34093.86530419278,18229.909966342857,52323.77527053564,6136.055123252618,58459.83039378826,0.0,0.0,0.0,0.0
T_amb,base,293.15,minimum_heel,True,False,False,10.224421296296295,10.224421296296295,10.224421296296295,10.224421296296295,10.224421296296295,,4.999321381190518,5.004170700427187,4.535184800289114,3.095829299572813,17364.5832,17364.5832,0.0,17364.5832,0.0,4.0,247788.6258073612,247788.6258073612,0.0,0.0,94.20134427822464,726.9512349634134,821.152579241638,3.3139236176241127,0.0,0.0,0.0,33670.52803234503,18190.5414605187,51861.069492863724,6006.0122247836025,57867.08171764733,0.0,0.0,0.0,0.0
T_amb,high,308.15,minimum_heel,True,False,False,10.211226851851851,10.211226851851851,10.211226851851851,10.211226851851851,10.211226851851851,,4.999676439670259,5.898649671563729,5.462129176059106,2.2013503284362708,17508.9432,17508.9432,0.0,17508.9432,0.0,4.0,247416.7370121379,247416.7370121379,0.0,0.0,91.19078104139933,668.3570397096375,759.5478207510369,3.069912851990181,0.0,0.0,0.0,33315.86794168955,18179.127526948458,51494.995468638,5964.548945592155,57459.54441423016,0.0,0.0,0.0,0.0
