parameter,level,value,termination_reason,heel_reached,mawp_exceeded,results_truncated_at_mawp,simulation_duration_days,voyage_simulation_duration_days,time_to_min_heel_days,elapsed_time_to_min_heel_days,voyage_time_to_min_heel_days,time_to_mawp_days,final_fill_pct,max_pressure_bar,pressure_at_termination_bar,pressure_margin_to_mawp_bar,total_bog_removed_kg,bog_used_as_fuel_kg,bog_excess_kg,bog_removed_lng_kg,bog_removed_conventional_kg,conventional_operation_days,requested_fuel_kg,fuel_supplied_kg,lng_supply_shortfall_kg,unserved_fuel_kg,pump_energy_kWh,compressor_energy_kWh,mechanical_energy_kWh,specific_mechanical_energy_kWh_per_t,pbu_thermal_energy_kWh,startup_pbu_thermal_energy_kWh,operational_pbu_thermal_energy_kWh,evaporator_evaporation_energy_kWh,evaporator_internal_superheat_energy_kWh,evaporator_thermal_energy_kWh,superheater_thermal_energy_kWh,total_process_thermal_energy_kWh,startup_time_days,pressure_recovery_time_days,pbu_pressurization_time_days,bog_balance_error_kg
baseline,base,,minimum_heel,True,False,False,9.555671296296296,9.499189814814814,9.555671296296296,9.555671296296296,9.499189814814814,,4.999886097392359,7.6001354733574695,7.034807792221582,0.4998645266425301,4994.8897619881545,0.0,4994.8897619881545,0.0,4994.8897619881545,3.4993055555555554,241459.99192373562,241459.99192373562,0.0,0.0,0.0,0.0,0.0,,690.6485683411007,155.66125045504802,534.9873178860527,33255.90732207825,18541.912475419067,51797.81979749733,6176.9816160661785,58665.44998190461,0.05648148148148148,0.0,0.05648148148148148,0.0
tank_ins_scale,low,0.5,minimum_heel,True,False,False,10.135416666666666,10.074537037037038,10.135416666666666,10.135416666666666,10.074537037037038,,4.999227415569419,7.600114002107118,7.459270623576217,0.499885997892882,2069.9381995809667,0.0,2069.9381995809667,0.0,2069.9381995809667,4.0,243564.09958092045,243564.09958092045,0.0,0.0,0.0,0.0,0.0,,988.9492660009438,167.82386602537116,821.1253999755727,34968.801132963774,18629.80505115134,53598.60618411512,6303.61782963858,60891.173279754636,0.06087962962962963,0.0,0.06087962962962963,0.0
tank_ins_scale,base,1.0,minimum_heel,True,False,False,9.555671296296296,9.499189814814814,9.555671296296296,9.555671296296296,9.499189814814814,,4.999886097392359,7.6001354733574695,7.034807792221582,0.4998645266425301,4994.8897619881545,0.0,4994.8897619881545,0.0,4994.8897619881545,3.4993055555555554,241459.99192373562,241459.99192373562,0.0,0.0,0.0,0.0,0.0,,690.6485683411007,155.66125045504802,534.9873178860527,33255.90732207825,18541.912475419067,51797.81979749733,6176.9816160661785,58665.44998190461,0.05648148148148148,0.0,0.05648148148148148,0.0
tank_ins_scale,high,1.5,minimum_heel,True,False,False,9.345833333333333,9.292708333333334,9.345833333333333,9.345833333333333,9.292708333333334,,4.9999309818959645,7.681992422572265,7.673281454796048,0.4180075774277343,9314.865002630202,4335.223188311169,4979.641814319031,4335.223188311169,4979.641814319031,3.292824074074074,241459.99192373565,241459.99192373565,0.0,0.0,0.0,0.0,0.0,,555.0434251454017,146.35590204708146,408.6875230983202,31927.451694281506,18482.088873348785,50409.54056763029,5907.174852078521,56871.75884485421,0.053125,0.0,0.053125,1.8189894035458565e-12
initial_fill,low,0.75,minimum_heel,True,False,False,7.680902777777778,7.598263888888889,7.680902777777778,7.680902777777778,7.598263888888889,,4.998451867870577,7.600211792752007,7.373184580884978,0.49978820724799267,401.62005545216965,401.62005545216965,0.0,401.62005545216965,0.0,2.0,220715.61567381982,220715.61567381982,0.0,0.0,0.0,0.0,0.0,,615.8642923308344,227.68820327034865,388.1760890604857,30284.60953152413,17124.113329126074,47408.7228606502,5443.235546472861,53467.8226994539,0.08263888888888889,0.0,0.08263888888888889,0.0
initial_fill,base,0.83,minimum_heel,True,False,False,9.555671296296296,9.499189814814814,9.555671296296296,9.555671296296296,9.499189814814814,,4.999886097392359,7.6001354733574695,7.034807792221582,0.4998645266425301,4994.8897619881545,0.0,4994.8897619881545,0.0,4994.8897619881545,3.4993055555555554,241459.99192373562,241459.99192373562,0.0,0.0,0.0,0.0,0.0,,690.6485683411007,155.66125045504802,534.9873178860527,33255.90732207825,18541.912475419067,51797.81979749733,6176.9816160661785,58665.44998190461,0.05648148148148148,0.0,0.05648148148148148,0.0
initial_fill,high,0.9,minimum_heel,True,False,False,10.805671296296296,10.772337962962963,10.805671296296296,10.805671296296296,10.772337962962963,,4.999937540625102,7.600114792406481,7.15825221784491,0.4998852075935183,7595.15946858057,2213.7810305681046,5381.378438012465,2213.7810305681046,5381.378438012465,4.0,263231.7973563734,263231.7973563734,0.0,0.0,0.0,0.0,0.0,,668.7241148632685,91.9016565011949,576.8224583620736,36011.22503410486,20407.07697933302,56418.302013437875,6330.717664628842,63417.743792929985,0.03333333333333333,0.0,0.03333333333333333,0.0
T_amb,low,278.15,minimum_heel,True,False,False,9.931828703703705,9.874537037037037,9.931828703703705,9.931828703703705,9.874537037037037,,4.999981093677422,7.600273671000174,7.066996877959176,0.4997263289998255,4814.931069094914,0.0,4814.931069094914,0.0,4814.931069094914,3.874652777777778,241459.99192373562,241459.99192373562,0.0,0.0,0.0,0.0,0.0,,698.6917318608625,157.90525318896152,540.786478671901,33494.80478880027,18524.977102538855,52019.78189133911,6211.337159360315,58929.810782560286,0.057291666666666664,0.0,0.057291666666666664,0.0
T_amb,base,293.15,minimum_heel,True,False,False,9.555671296296296,9.499189814814814,9.555671296296296,9.555671296296296,9.499189814814814,,4.999886097392359,7.6001354733574695,7.034807792221582,0.4998645266425301,4994.8897619881545,0.0,4994.8897619881545,0.0,4994.8897619881545,3.4993055555555554,241459.99192373562,241459.99192373562,0.0,0.0,0.0,0.0,0.0,,690.6485683411007,155.66125045504802,534.9873178860527,33255.90732207825,18541.912475419067,51797.81979749733,6176.9816160661785,58665.44998190461,0.05648148148148148,0.0,0.05648148148148148,0.0
T_amb,high,308.15,minimum_heel,True,False,False,9.544560185185185,9.488888888888889,9.544560185185185,9.544560185185185,9.488888888888889,,4.999939735559335,7.600092927309512,7.180647196348767,0.49990707269048773,5692.973521798479,648.6563052046423,5044.317216593838,648.6563052046423,5044.317216593838,3.4890046296296298,241459.99192373565,241459.99192373565,0.0,0.0,0.0,0.0,0.0,,615.9770098288628,153.42181875703906,462.55519107182374,32968.08527777103,18545.326760464737,51513.41203823577,6100.798775819978,58230.18782388461,0.055671296296296295,0.0,0.055671296296296295,-9.094947017729282e-13
