system,metric,parameter,label,baseline,low_value,high_value,low_mawp,high_mawp,low_note,high_note,impact
FGSS 1 (PBU),voyage_time_to_min_heel_days,T_amb,Ambient temperature,9.499189814814814,9.874537037037037,9.488888888888887,False,False,,,0.3753472222222225
FGSS 1 (PBU),voyage_time_to_min_heel_days,tank_ins_scale,"Insulation conductivity, $\lambda/\lambda_0$",9.499189814814814,10.074537037037038,9.292708333333334,False,False,,,0.5753472222222236
FGSS 1 (PBU),voyage_time_to_min_heel_days,initial_fill,Initial tank filling,9.499189814814814,7.598263888888889,10.772337962962965,False,False,,,1.9009259259259252
FGSS 1 (PBU),voyage_time_to_min_heel_days,fuel_flow_scale,Fuel-demand scaling,9.499189814814814,12.05601851851852,7.125810185185185,False,False,,,2.5568287037037063
FGSS 1 (PBU),pressure_margin_to_mawp_bar,initial_fill,Initial tank filling,0.4998645266425301,0.4997882072479926,0.4998852075935183,False,False,,,7.631939453750514e-05
FGSS 1 (PBU),pressure_margin_to_mawp_bar,fuel_flow_scale,Fuel-demand scaling,0.4998645266425301,0.4999423771458708,0.4999803768899662,False,False,,,0.00011585024743610006
FGSS 1 (PBU),pressure_margin_to_mawp_bar,T_amb,Ambient temperature,0.4998645266425301,0.4997263289998255,0.4999070726904877,False,False,,,0.00013819764270461832
FGSS 1 (PBU),pressure_margin_to_mawp_bar,tank_ins_scale,"Insulation conductivity, $\lambda/\lambda_0$",0.4998645266425301,0.499885997892882,0.4180075774277343,False,False,,,0.0818569492147958
FGSS 1 (PBU),bog_excess_kg,T_amb,Ambient temperature,4.994889761988155,4.814931069094914,5.0443172165938375,False,False,,,0.17995869289324062
FGSS 1 (PBU),bog_excess_kg,tank_ins_scale,"Insulation conductivity, $\lambda/\lambda_0$",4.994889761988155,2.069938199580967,4.979641814319031,False,False,,,2.924951562407188
FGSS 1 (PBU),bog_excess_kg,fuel_flow_scale,Fuel-demand scaling,4.994889761988155,3.503515622804519,0.07460598058149434,False,False,,,4.920283781406661
FGSS 1 (PBU),bog_excess_kg,initial_fill,Initial tank filling,4.994889761988155,0.0,5.381378438012465,False,False,,,4.994889761988155
FGSS 1 (PBU),pbu_thermal_energy_kWh,T_amb,Ambient temperature,690.6485683411007,698.6917318608625,615.9770098288628,False,False,,,74.67155851223788
FGSS 1 (PBU),pbu_thermal_energy_kWh,initial_fill,Initial tank filling,690.6485683411007,615.8642923308344,668.7241148632685,False,False,,,74.78427601026635
FGSS 1 (PBU),pbu_thermal_energy_kWh,fuel_flow_scale,Fuel-demand scaling,690.6485683411007,597.9381833558318,701.4885846840947,False,False,,,92.71038498526889
FGSS 1 (PBU),pbu_thermal_energy_kWh,tank_ins_scale,"Insulation conductivity, $\lambda/\lambda_0$",690.6485683411007,988.9492660009438,555.0434251454017,False,False,,,298.3006976598431
